Key	RU	EN
EllipseTool_name	Эллипс	EllipseTool
EllipseTool_description	Кликните мышью там, где хотите создать центр эллипса, после чего с помощью перемещений мыши задайте радиус и кликните мышью, чтобы завершить создание	click where you want to create the center point and then you can control the radius of the ellipse by moving mouse and fix it by clicking left button
EllipseTool_button	Эллипс	Ellipse
SketchTool_name	Эскиз	SketchTool
SketchTool_description	Выберите сначала точку, а потом две непараллельные линии, чтобы задать плоскость эскиза. Линии задают ориентацию плоскости, а точка — её положение.	click some point first and then click two non-parallel lines to define a new workplane. The point will be origin of the plane, and plane normal will be perpendicular to lines.
SketchTool_button	Эскиз	Wrkplne
TextTool_name	Текст	TextTool
TextTool_description	Сначала введите текст в окне опций, а затем кликните мышью там, где вы хотите разместить левый нижний угол текста, после чего выберите позицию левого верхнего угла текста и кликните, чтобы завершить создание.	enter text in option window and then click where you want to create text entity
TextTool_button	Текст	Text
PointsCoincidentTool_name	ТочкаНа	PointsCoincidentTool
PointsCoincidentTool_description	Выберите сначала точку, а затем элемент, чтобы привязать точку к элементу	hover and click point and arbitrary entity for constraining them to be coincident.
PointsCoincidentTool_button	ТочкаНа	PointOn
ArcTool_name	Дуга	ArcTool
ArcTool_description	Кликните мышью сначала первую, а затем вторую точку дуги	click where you want to create the beginning and the ending points of the arc
ArcTool_button	Дуга	Arc
CopyTool_name	Копирование	CopyTool
CopyTool_description	Копирование	
CopyTool_button	Копир	Copy
TangentTool_name	Касательность	TangentTool
TangentTool_description	Выберете два элемента, чтобы создать ограничение касательности	hover and click two different entities.
TangentTool_button	Касат	Tangent
OffsetTool_name	Оффсет	OffsetTool
OffsetTool_description	Кликните объект, чтобы создать кривую смещения	click an entity to create offset
OffsetTool_button	Оффсет	Offset
FixTool_name	Фиксациия	FixTool
FixTool_description	Выберите объект, чтобы зафиксировать его	click an object to apply fixation.
FixTool_button	Фикс	Fixation
ParallelTool_name	Параллельность	ParallelTool
ParallelTool_description	Выберите две линии, чтобы создать ограничение параллельности между ними	hover and click two different lines.
ParallelTool_button	Паралл	Parallel
ImportDXFTool_name	Импорт2D	ImportDXFTool
ImportDXFTool_description	Выберите в окне опций необходимый формат для импорта, после чего нажмите кнопку «Импорт». 	
ImportDXFTool_button	Имп2D	Import2D
ExtrusionTool_name	Выдавливание	ExtrusionTool
ExtrusionTool_description		
ExtrusionTool_button	Выдавл	Extrude
UndoTool_name	Отмена	UndoTool
UndoTool_description		
UndoTool_button	Отмена	Undo
RedoTool_name	Повтор	RedoTool
RedoTool_description		
RedoTool_button	Повтор	Redo
PerpendicularTool_name	Перпендикулярность	PerpendicularTool
PerpendicularTool_description	Выберите два объекта, чтобы создать перпендикулярность между ними. Вы так же можете выбирать любые элементы — дуги, сплайны итд.	hover and click two different entities.
PerpendicularTool_button	Перп-ляр	Perp-lar
RemoveTool_name	Удаление	RemoveTool
RemoveTool_description		
RemoveTool_button	Удалить	Delete
PointTool_name	Точка	PointTool
PointTool_description	Кликните там, где хотите создать точку	
PointTool_button	Точка	Point
LoadTool_name	Открыть	LoadTool
LoadTool_description	Выберите файл для открытия	
LoadTool_button	Открыть	Load
AngleTool_name	Угол	AngleTool
AngleTool_description	Выберите дугу или две разные линии. Вы можете изменить значение размера, дважды щелкнув по нему, когда активен инструмент перемещения.	hover and click an arc or a two different lines. You can change dimension value by double clicking it when MoveTool is active.
AngleTool_button	Угол	Angle
StyleAssignTool_name	ПрименитьСтиль	StyleAssignTool
StyleAssignTool_description	Применение стиля	Styles
StyleAssignTool_button	Назнач	Assign
HelpTool_name	Помощь и Опции	HelpTool
HelpTool_description	Для перемещения камеры используйте среднюю кнопку мыши, для масштабирования — колесико мыши, для вращения камеры — правую кнопку мыши. Для создания твердых тел нарисуйте замкнутые контуры примитивов, затем вы можете создавать выдавливания и эскизы в разных рабочих плоскостях. Для отмены текущего инструмента нажмите клавишу Escape или правую кнопку мыши. 	Use middle mouse button for panning camera, scroll for zooming, right button for rotating the camera. For making solid bodies, please draw closed contours of primitives, then you can create extrusion and sketches in different workplanes. For cancelling current tool you can press Escape or right mouse button.
HelpTool_button	Помощь Опции	Help Options
RectTool_name	Прямоугольник	RectTool
RectTool_description	Щелкните в тех местах, где хотите создать точки прямоугольника. 	click where you want to create points of the rectangle
RectTool_button	Прямоуг	Rectangle
LengthTool_name	Длина	LengthTool
LengthTool_description	Щелкните по объекту, чтобы ограничить его длину, а затем щелкните в том месте, где хотите задать значение размера. Вы можете изменить значение размера, дважды щелкнув по нему, когда активен инструмент перемещения 	click a entity to constrain length and then click where you want to create dimension value. You can change dimension value by double clicking it when MoveTool is active.
LengthTool_button	Длина	Length
HVTool_name	HVTool	HVTool
HVTool_description	Выберите две точки или линию, чтобы применить горизонтальность/вертикальность	click a two points or a line for constraining horizontal/vertical.
HVTool_button	Верт	Vert
ExportSTLTool_name	ExportSTLTool	ExportSTLTool
ExportSTLTool_description	Выберите формат для экспорта, а так же нужные опции, после чего нажмите кнопку «Экспортщ» 	
ExportSTLTool_button	Экспорт	Export
PasteTool_name	Всавить	PasteTool
PasteTool_description		
PasteTool_button	Вставить	Paste
LineTool_name	Отрезок	LineTool
LineTool_description	Кликните там, где хотите создать начальную и конечную точки отрезка.	click where you want to create the beginning and the ending points of the line
LineTool_button	Линия	Segment
ImportSTLTool_name	Импорт3D	ImportSTLTool
ImportSTLTool_description		
ImportSTLTool_button	Имп3D	Import3D
SplineTool_name	Кривая	SplineTool
SplineTool_description	Кликните там, где хотите создать начальную и конечную точки сплайна Безье	click where you want to create the beginning and the ending points of the cubic Bezier spline
SplineTool_button	Кривая	Spline
StyleAddTool_name	StyleAddTool	StyleAddTool
StyleAddTool_description	Измените опции вновь созданного стиля	change options of newly created style
StyleAddTool_button	Добавить	Add
DistanceTool_name	Размер	DistanceTool
DistanceTool_description	Выберите линию, чтобы задать ее длину,  или окружность (дугу), чтобы задать диаметр (радиус). Выберите точки/линии/окружности/дуги чтобы задать расстояния или углы между ними.	click a line to constrain length or circle(arc) to constrain daimeter(radius). Click two entities of type point/line/circle/arc to constrain distance or angle between them.
DistanceTool_button	Размер	Dim
NewTool_name	Создать Новый Файл	NewTool
NewTool_description	Введите имя файла в окне опций и нажимите кнопку «Создать»	
NewTool_button	Новый	New
CircleTool_name	Окружность	CircleTool
CircleTool_description	Кликните там, где хотите создать центр окружности, после чего можно задать радиус перемещнием мыши и кликнуть мышью для завершения создания.	click where you want to create the center point and then you can control the radius of the circle by moving mouse and fix it by clicking left button
CircleTool_button	Окружн	Circle
